"Category","Name","Manufacturer","Scheme","Assurance Level","Protection Profile(s)","Certification Date","Archived Date","Certification Report URL","Security Target URL","Maintenance Date","Maintenance Title","Maintenance Report","Maintenance ST"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon Smart Card IC (Security Controller) SLE66CX322P/m1484b14 and m1484f18 with RSA 2048 V1.30 and specific IC Dedicated Software","Infineon Technologies AG","DE","EAL5+,AVA_VLA.4,AVA_MSU.3,ALC_DVS.2","","04/22/2005","","http://www.commoncriteriaportal.org:80/files/epfiles/0266a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0266b.pdf","07/25/2006","SLE66CX322P/m1484b14 and m1484f18, with RSA 2048 V1.30 and specific IC Dedicated Software","http://www.commoncriteriaportal.org:80/files/epfiles/0266_ma3.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon Smart Card IC (Security Controller) SLE66CX322P/m1484b14 and m1484f18 with RSA 2048 V1.30 and specific IC Dedicated Software","Infineon Technologies AG","DE","EAL5+,AVA_VLA.4,AVA_MSU.3,ALC_DVS.2","","04/22/2005","","http://www.commoncriteriaportal.org:80/files/epfiles/0266a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0266b.pdf","09/26/2007","Infineon Smart Card IC (Security Controller) SLE66CX322P/m1484b14 and m1484f18, with RSA 2048 V1.30 and specific IC Dedicated Software","http://www.commoncriteriaportal.org:80/files/epfiles/0266_ma4.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon Smart Card IC (Security Controller) SLE66CX322P/m1484b14 and m1484f18 with RSA 2048 V1.30 and specific IC Dedicated Software","Infineon Technologies AG","DE","EAL5+,AVA_VLA.4,AVA_MSU.3,ALC_DVS.2","","04/22/2005","","http://www.commoncriteriaportal.org:80/files/epfiles/0266a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0266b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ST19XL18P microcontroller","STMicroelectronics","FR","EAL4+,AVA_VLA.4,AVA_CCA.1,ADV_IMP.2,ADV_FSP.3,ALC_DVS.2","","04/05/2005","","http://www.commoncriteriaportal.org:80/files/epfiles/2005_10.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2005_10.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ATMEL AT90SC7272C rev. D microcontroller","ATMEL Smart Card ICs","FR","EAL4+,AVA_VLA.4,ADV_IMP.2,ALC_DVS.2","","03/11/2005","","http://www.commoncriteriaportal.org:80/files/epfiles/2005_05.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2005_05.pdf","03/11/2005","Rapport de maintenance M-2006/02","http://www.commoncriteriaportal.org:80/files/epfiles/M- 2006_02.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ATMEL AT90SC7272C rev. D microcontroller","ATMEL Smart Card ICs","FR","EAL4+,AVA_VLA.4,ADV_IMP.2,ALC_DVS.2","","03/11/2005","","http://www.commoncriteriaportal.org:80/files/epfiles/2005_05.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2005_05.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Plate-forme Xaica-alpha version V150i_alpha7rs3_SM032 sur micro-circuit ST19XR34F","NTT Data Corporation / STMicroelectronics.","FR","EAL4+,ADV_IMP.2,ALC_DVS.2","","03/08/2005","","http://www.commoncriteriaportal.org:80/files/epfiles/2005_04.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2005_04.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ATMEL AT90SC6404RT rev. F microcontroller","ATMEL Smart Card ICs","FR","EAL4+,AVA_VLA.4,ADV_IMP.2,ALC_DVS.2","","02/14/2005","","http://www.commoncriteriaportal.org:80/files/epfiles/2005_03.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2005_03.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Chipkartenterminalfamilie KBPC CX / CX Top","","DE","EAL3+,AVA_VLA.4,AVA_MSU.3,ADV_IMP.1,ADO_DEL.2,ADV_LLD.1,ALC_TAT.1","","12/16/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/0280a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0280b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ATMEL AT90SC6404R rev.I microcontroller","ATMEL Smart Card ICs","FR","EAL4+,AVA_VLA.4,ADV_IMP.2,ALC_DVS.2","","12/15/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/2004_36.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2004_36.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ATMEL AT90SC9608RC rev. I microcontroller","ATMEL Smart Card ICs","FR","EAL4+,AVA_VLA.4,ADV_IMP.2,ALC_DVS.2","","12/15/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/2004_35.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2004_35.pdf","03/10/2008","Maintenance Report DCSSI-2004/35-M01","http://www.commoncriteriaportal.org:80/files/epfiles/DCSSI-2004-35-M01en.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ATMEL AT90SC9608RC rev. I microcontroller","ATMEL Smart Card ICs","FR","EAL4+,AVA_VLA.4,ADV_IMP.2,ALC_DVS.2","","12/15/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/2004_35.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2004_35.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ST19WK08G microcontroller","STMicroelectronics","FR","EAL4+,ALC_FLR.1","","12/15/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/2004_32.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2004_32.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","SmartBord xx44","Cherry GmbH","DE","EAL3+,AVA_VLA.4,AVA_MSU.3,ADV_IMP.1,ADO_DEL.2,ADV_LLD.1,ALC_TAT.1","","12/10/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/0263a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0263b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ATMEL AT05SC1604R rev.K microcontroller","ATMEL Smart Card ICs","FR","EAL4+,AVA_VLA.4,ADV_IMP.2,ADV_DVS.2","","12/06/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/2004_22.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2004_22.pdf","08/10/2005","Rapport de maintenance M-2005/04","http://www.commoncriteriaportal.org:80/files/epfiles/DCSSI-M-2005_04fr.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ATMEL AT05SC1604R rev.K microcontroller","ATMEL Smart Card ICs","FR","EAL4+,AVA_VLA.4,ADV_IMP.2,ADV_DVS.2","","12/06/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/2004_22.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2004_22.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon Smart Card IC (Security Controller) SLE66C82P/m1474a15 and SLE66C42P/m1495a15","Infineon Technologies AG","DE","EAL5","","11/16/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/0204a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0204b.pdf","02/22/2006","Infineon Smart Card IC (Security Controller) SLE66C82P/m1474-a15 and","http://www.commoncriteriaportal.org:80/files/epfiles/0204_ma1.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon Smart Card IC (Security Controller) SLE66C82P/m1474a15 and SLE66C42P/m1495a15","Infineon Technologies AG","DE","EAL5","","11/16/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/0204a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0204b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Philips P5CC036V1C and P5CC009V1C Secure Smart Card Controller","Philips Semiconductors GmbH","DE","EAL5+,AVA_VLA.4,AVA_MSU.3,ALC_DVS.2","","11/11/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/0244a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0244b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ST19XR34F Microcontroller","STMicroelectronics","FR","EAL4+,AVA_VLA.4,AVA_CCA.1,ADV_IMP.2,ADV_FSP.3,ALC_DVS.2","","10/08/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/2004_31.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2004_31.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NEC V-WAY 64 V3.0 (µPD79216000) microcontroller","NEC SCAC / NEC","FR","EAL4+,ALC_DVS.2,ADV_IMP.2,AVA_VLA.4","","09/16/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/2004_19en.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2004_19.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Philips P5CT072V0M and P5CC072VOM Secure Smart Card Controller","Philips Semiconductors GmbH","DE","EAL5+,AVA_VLA.4,AVA_MSU.3,ALC_DVS.2","","09/16/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/0227a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0227b.pdf","03/14/2005","Philips P5CT072V0M und P5CC072V0M Secure Smart Card Controller with updated IC Dedicated Software","http://www.commoncriteriaportal.org:80/files/epfiles/0227_ma1.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Philips P5CT072V0M and P5CC072VOM Secure Smart Card Controller","Philips Semiconductors GmbH","DE","EAL5+,AVA_VLA.4,AVA_MSU.3,ALC_DVS.2","","09/16/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/0227a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0227b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Philips P5CC036VOM Secure Smart Card Controller","Philips Semiconductors GmbH","DE","EAL5+,AVA_VLA.4,AVA_MSU.3,ALC_DVS.2","","09/08/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/0232a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0232b.pdf","03/14/2004","Philips P5CC036V0M, P5CD036V0M und P5CD072V0M Secure Smart Card Controller","http://www.commoncriteriaportal.org:80/files/epfiles/0232_ma1.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Philips P5CC036VOM Secure Smart Card Controller","Philips Semiconductors GmbH","DE","EAL5+,AVA_VLA.4,AVA_MSU.3,ALC_DVS.2","","09/08/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/0232a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0232b.pdf","10/12/2007","NXP P5CD036V0M Secure Smart Card Controller with IC Dedicated Software","http://www.commoncriteriaportal.org:80/files/epfiles/0232_ma2.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Philips P5CC036VOM Secure Smart Card Controller","Philips Semiconductors GmbH","DE","EAL5+,AVA_VLA.4,AVA_MSU.3,ALC_DVS.2","","09/08/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/0232a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0232b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Philips P5CC009VOM Secure Smart Card Controller","Philips Semiconductors GmbH","DE","EAL5+,AVA_VLA.4,AVA_MSU.3,ALC_DVS.2","","09/06/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/0231a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0231b.pdf","03/14/2005","Philips P5CC009V0M und P5CD009V0M Secure Smart Card Controller with updated IC Dedicated Software","http://www.commoncriteriaportal.org:80/files/epfiles/0231_ma1.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Philips P5CC009VOM Secure Smart Card Controller","Philips Semiconductors GmbH","DE","EAL5+,AVA_VLA.4,AVA_MSU.3,ALC_DVS.2","","09/06/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/0231a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0231b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ST19WL66B microcontroller","STMicroelectronics","FR","EAL4+,AVA_VLA.4,AVA_CCA.1,AVA_MSU.3,ADV_IMP.2,ADV_FSP.3,ALC_DVS.2","","08/20/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/2004_18en_bis.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2004_18_bis.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ST19XL34P microcontroller","STMicroelectronics","FR","EAL4+,AVA_VLA.4,AVA_CCA.1,ADV_IMP.2,ADV_FSP.3,ALC_DVS.2","","08/20/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/2004_26_bis.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2004_26_bis.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Samsung S3CC9FB microcontroller","","FR","EAL4+,AVA_VLA.4,ADV_IMP.2,ALC_DVS.2","","05/11/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/2004_08.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2004_08.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Samsung S3CC9P9 microcontroller","","FR","EAL4+,AVA_VLA.4,ADV_IMP.2,ALC_DVS.2","","05/11/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/2004_06.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2004_06.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Samsung S3CC9RB microcontroller","","FR","EAL4+,AVA_VLA.4,ADV_IMP.2,ALC_DVS.2","","05/11/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/2004_07.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2004_07.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","TCOS Tachograph Card Version 1.0","T-Systems Enterprise Services GmbH","DE","EAL4+,AVA_VLA.4,AVA_MSU.3,ADV_IMP.2,ADO_IGS.2,ATE_DPT.2,ALC_DVS.2","","05/01/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/0242a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0242b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Tachograph Card Version 1.1 128/64 R1.1","ORGA Kartensysteme GMBH","DE","EAL4+,AVA_VLA.4,ADV_IMP.2,ADO_IGS.2,ATE_DPT.2","","05/01/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/0267a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0267b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ATMEL AT90SC9608R rev. F microcontroller","ATMEL Smart Card ICs","FR","EAL4+,AVA_VLA.4,ADV_IMP.2,ALC_DVS.2","","04/02/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/2004_05.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2004_05.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Renesas AE45C1 (HD65145C1) smartcard integrated circuit, Version 01","Renesas Technology Corporation","DE","EAL4+,AVA_VLA.4,AVA_MSU.3,ADV_IMP.2,ALC_DVS.2","","01/01/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/0212a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0212b.pdf","09/20/2004","Renesas AE45C1 (HD65145C1) Smartcard Integrated Circuit Version 02","http://www.commoncriteriaportal.org:80/files/epfiles/0212a_ma1.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0212b_ma1.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Renesas AE45C1 (HD65145C1) smartcard integrated circuit, Version 01","Renesas Technology Corporation","DE","EAL4+,AVA_VLA.4,AVA_MSU.3,ADV_IMP.2,ALC_DVS.2","","01/01/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/0212a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0212b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ATMEL AT90SC9608R rev. E microcontroller","ATMEL Smart Card ICs","FR","EAL4+,AVA_VLA.4,ADV_IMP.2,ALC_DVS.2","","12/18/2003","","http://www.commoncriteriaportal.org:80/files/epfiles/2003_28.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2003_28.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","MULTOS I4C (1-1-1) platform with patch AMD 0029v002 on component SLE66CX322P/m1484a24","Keycorp Limited / Infineon Technologies AG","FR","EAL4+,AVA_VLA.4,ADV_IMP.2,ALC_DVS.2","","12/04/2003","","http://www.commoncriteriaportal.org:80/files/epfiles/2003_14.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2003_14.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ATMEL AT90SC3232CS microcontroller","ATMEL Smart Card ICs","FR","EAL4+,AVA_VLA.4,ADV_IMP.2,ALC_DVS.2","","11/18/2003","","http://www.commoncriteriaportal.org:80/files/epfiles/2003_20.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2003_20.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon Smart Card IC (Security Controller) SLE66CX322P with RSA 2048/m1484 a24/ m1484a27 and m1484b14","Infineon Technologies AG","DE","EAL5+,AVA_VLA.4,AVA_MSU.3,ALC_DVS.2","","10/01/2003","","http://www.commoncriteriaportal.org:80/files/epfiles/0223a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0223b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ATMEL AT90SC9608RC microcontroller","ATMEL Smart Card ICs","FR","EAL4+,AVA_VLA.4,ADV_IMP.2,ALC_DVS.2","","09/22/2003","","http://www.commoncriteriaportal.org:80/files/epfiles/2003_11.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2003_11.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Application M/Chip 4 version 1.0.1.1 for MULTOS","Mondex International Ltd","FR","EAL4+,AVA_VLA.4,ADV_IMP.2","","09/08/2003","","http://www.commoncriteriaportal.org:80/files/epfiles/2003_10.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2003_10.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ICitizen Tachograph version 0.9.0 (reference M256LFCHRON_SI_A5_05_01)","Schlumberger Systemes, Infineon Technologies","FR","EAL4+,AVA_VLA.4,AVA_MSU.3,ADV_IMP.2,ADO_IGS.2,ATE_DPT.2,ALC_DVS.2","","09/08/2003","","http://www.commoncriteriaportal.org:80/files/epfiles/2003_12en.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2003_12.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Tachograph Card Version 1.0 128/64 R1.0","ORGA Kartensysteme GMBH","DE","EAL4+,AVA_VLA.4,ADV_IMP.2,ADO_IGS.2,ATE_DPT.2","","08/01/2003","","http://www.commoncriteriaportal.org:80/files/epfiles/0205a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0205b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Philips Smart Card Controller P16WX064V0C","Philips Semiconductors GmbH Business Unit Identification","DE","EAL5+,AVA_VLA.4,AVA_MSU.3,ALC_DVS.2","","06/01/2003","","http://www.commoncriteriaportal.org:80/files/epfiles/0203a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0203b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ATMEL AT05SC3208R microcontroller (AT568D6 Rev E)","ATMEL Smart Card ICs","FR","EAL4+,AVA_VLA.4,ALC_FLR.1,ADV_IMP.2,ALC_DVS.2","","01/01/2003","","http://www.commoncriteriaportal.org:80/files/epfiles/2003_02.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2003_02.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Philips Smart Card Controller P8WE6017V1J","Philips Semiconductors GmbH Business Unit Identification","DE","EAL5+,AVA_VLA.4,AVA_MSU.3,ALC_DVS.2","","01/01/2003","","http://www.commoncriteriaportal.org:80/files/epfiles/0196a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0196b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Renesas AE43C (HD65143C) Smartcard Integrated Circuit Version 01","Renesas Technology Corporation","DE","EAL4+,AVA_VLA.4,AVA_MSU.3,ADV_IMP.2,ALC_DVS.2","","01/01/2003","","http://www.commoncriteriaportal.org:80/files/epfiles/0196a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0196b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Hitachi AE450 (HD651450) Smartcard Integrated Circuit Version 01","Hitachi, Ltd.","DE","EAL4+,AVA_VLA.4,AVA_MSU.3,ADV_IMP.2,ALC_DVS.2","","12/01/2002","","http://www.commoncriteriaportal.org:80/files/epfiles/0191a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0191b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Philips Smart Card Controller P8WE5033V0F","Philips Semiconductors GmbH Business Unit Identification","DE","EAL5+,AVA_VLA.4,AVA_MSU.3,ALC_DVS.2","","08/01/2002","","http://www.commoncriteriaportal.org:80/files/epfiles/0177a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0177b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Philips Smart Card Controller P8WE5033V0G","Philips Semiconductors GmbH Business Unit Identification","DE","EAL5+,AVA_VLA.4,AVA_MSU.3,ALC_DVS.2","","08/01/2002","","http://www.commoncriteriaportal.org:80/files/epfiles/0199a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0199b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","GemXpresso Pro E 64 PK - Java Card Platform Embedded Software V3 (Core)","Gemplus S.A.","DE","EAL4","","07/01/2002","","http://www.commoncriteriaportal.org:80/files/epfiles/0193a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0193b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","GemXpresso Pro E64 PK - Java Card Platform Embedded Software V3 (Core)","Gemplus S.A.","DE","EAL5+,AVA_VLA.4,ALC_DVS.2","","07/01/2002","","http://www.commoncriteriaportal.org:80/files/epfiles/0188a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0188b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Hitachi AE45C (HD65145C) Smartcard Integrated Circuit Version 01","Hitachi, Ltd.","DE","EAL4+,AVA_VLA.4,AVA_MSU.3,ADV_IMP.2,ALC_DVS.2","","05/01/2002","","http://www.commoncriteriaportal.org:80/files/epfiles/0168a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0168b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Smart Card IC (Security Controller) SLE66CX322P with RSA 2048 / m1484a23","Infineon Technologies AG","DE","EAL5+,AVA_VLA.4,AVA_MSU.3,ALC_DVS.2","","05/01/2002","","http://www.commoncriteriaportal.org:80/files/epfiles/0169a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0169b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","GemXplore Xpresso V3 Java Card Platform Embedded Software V3 (Core)","Gemplus S.A.","DE","EAL4","","04/01/2002","","http://www.commoncriteriaportal.org:80/files/epfiles/0187a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0187b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Philips Smart Card Controller P8WE6004 V0D","Philips Semiconductors GmbH Business Unit Identification","DE","EAL5+,AVA_VLA.4,AVA_MSU.3,ALC_DVS.2","","03/01/2002","","http://www.commoncriteriaportal.org:80/files/epfiles/0170a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0170b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","GemXplore Xpresso V3 Java Card Platform Embedded Software V3 (Core)","Gemplus S.A.","DE","EAL5+,AVA_VLA.4,ALC_DVS.2","","02/01/2002","","http://www.commoncriteriaportal.org:80/files/epfiles/0171a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0171b.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ATMEL AT05SC1604R Integrated circuit (reference AT568C6 rev. H)","ATMEL Smart Card ICs","FR","EAL4+,AVA_VLA.4,ALC_FLR.1,ADV_IMP.2,ADV_DVS.2","","01/01/2002","","http://www.commoncriteriaportal.org:80/files/epfiles/2002_03.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2002_03.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ATMEL AT90SC19264RC microcontroller (AT568D5 rev F)","ATMEL Smart Card ICs","FR","EAL4+,AVA_VLA.4,ADV_IMP.2,ALC_DVS.2","","01/01/2002","","http://www.commoncriteriaportal.org:80/files/epfiles/2002_24.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2002_24.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ATMEL ATE05SC1604R Integrated circuit (AT568C6 rev. I)","ATMEL Smart Card ICs","FR","EAL4+,AVA_VLA.4,ALC_FLR.1,ADV_IMP.2,ALC_DVS.2","","01/01/2002","","http://www.commoncriteriaportal.org:80/files/epfiles/2002_16.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2002_16.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","COSMOPOLIC 2.1 V4 JavaCard Open Platform Embedded Software version 1","Oberthur Card Systems","FR","EAL4+,AVA_VLA.4,ADV_IMP.2,ALC_DVS.2","","01/01/2002","","http://www.commoncriteriaportal.org:80/files/epfiles/2002_05.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2002_05.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Gemplus CB-B0'/EMV : P8WE6004 V0D Component embedded by MPH021 application(reference : P8WE6004 V0D/C017D)","Philips, Gemplus","FR","EAL4+,AVA_VLA.4,AVA_MSU.3,ADV_IMP.2,ALC_DVS.2","","01/01/2002","","http://www.commoncriteriaportal.org:80/files/epfiles/2002_04.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2002_04.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","JavaCard 32K CRISTAL (reference M256LCAC2)","Schlumberger Systemes, Infineon Technologies","FR","EAL4+,ALC_DVS.2,ADV_IMP.2,AVA_MSU.3,AVA_VLA.4","SVGPP01_V1.0","01/01/2002","","http://www.commoncriteriaportal.org:80/files/epfiles/2002_07.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2002_07.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","JavaCard 32K CRISTAL (reference M256LCAC2)","Schlumberger Systemes, Infineon Technologies","FR","EAL4","SVGPP01_V1.0","01/01/2002","","http://www.commoncriteriaportal.org:80/files/epfiles/2002_12.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/cible2002_12.pdf","","","",""
